gene_symbol_mouse,probe_id,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude
Bnip3,1422470_at,1.59984318802818e-25,3.60772638116295e-21,24,13.5,23298.3906226374
St3gal5,1449198_a_at,1.59984318802818e-25,3.60772638116295e-21,24,14,4072.26330819239
Ubxn1,1436342_a_at,1.38262322396599e-24,1.55894225060226e-20,24,4.5,6619.43871072163
Nampt,1417190_at,4.77425072940568e-24,4.30646964293851e-20,24,14.5,5183.02199541928
Elovl3,1420722_at,5.08800241909086e-23,3.27819995862024e-19,24,0.5,61242.3768972106
Desi2,1425185_at,5.08800241909086e-23,3.27819995862024e-19,24,21,1452.64481593058
Rorc,1425792_a_at,7.44544080188046e-23,4.19746032007013e-19,24,19,1333.14376991006
Clpx,1423447_at,1.57677126184404e-22,7.90155118671424e-19,24,0,22568.8685564873
Gys2,1424815_at,1.37695938214838e-21,5.64565864493399e-18,24,13.5,11562.963639353
Smagp,1425108_a_at,3.892524741423e-21,1.46297298635766e-17,24,2.5,1685.53043431437
Upp2,1460059_at,2.07015639106879e-20,7.18200949181488e-17,24,13.5,819.625147742857
Nrg4,1421681_at,2.86669940126494e-20,8.61940064643002e-17,24,13.5,593.156523398335
Nat8f5,1424811_at,2.86669940126494e-20,8.61940064643002e-17,24,19.5,7584.07378161631
Insig2,1417982_at,1.02553568374172e-19,2.72074616896679e-16,24,0.5,33238.9154302275
Cry1,1433733_a_at,1.02553568374172e-19,2.72074616896679e-16,24,20,4109.43944721327
Sco2,1432181_s_at,1.40102371425759e-19,3.51042058537398e-16,24,2,3078.21259520034
Jade1,1452179_at,2.59464150269803e-19,6.15899612700968e-16,24,8,905.202745935959
Hsd3b7,1416968_a_at,4.7570794693528e-19,1.0727452057364e-15,24,3.5,34625.3927291085
Nr1d2,1416958_at,8.63692299566545e-19,1.69362549577177e-15,24,10,25107.8591980243
Slc37a4,1417042_at,1.15961571948913e-18,2.01153186787227e-15,24,14.5,10950.5031008283
Inca1,1448034_at,1.15961571948913e-18,2.01153186787227e-15,24,5.5,1347.44500455956
Gm13363///Ptp4a1,1449322_at,1.15961571948913e-18,2.01153186787227e-15,24,14,10849.4221864577
Coq8a,1417067_s_at,1.55328889427945e-18,2.59462527484805e-15,24,0.5,2834.43753238628
Lgalsl,1424318_at,2.07580973465528e-18,3.12070316142293e-15,24,22.5,3226.12165615503
Akr1c19,1455454_at,2.07580973465528e-18,3.12070316142293e-15,24,14,16548.9326525251
Mad2l2,1460348_at,2.07580973465528e-18,3.12070316142293e-15,24,1,1343.50288425444
Thrsp,1422973_a_at,2.7677941001838e-18,3.78273580946635e-15,24,16.5,128048.305304136
Eci2,1431012_a_at,2.7677941001838e-18,3.78273580946635e-15,24,12,11151.180005329
Tars,1460323_at,2.7677941001838e-18,3.78273580946635e-15,24,23.5,9216.60656268076
Pcsk4,1425824_a_at,3.68217488574743e-18,4.61304915339152e-15,24,12,555.679863995448
Nr1d1,1426464_at,3.68217488574743e-18,4.61304915339152e-15,24,7,454.66966030295
Dhrs3,1448390_a_at,3.68217488574743e-18,4.61304915339152e-15,24,1.5,6266.07977449318
Arntl,1425099_a_at,4.88779097069733e-18,5.51110651423551e-15,24,23,2478.90424280568
Slc16a12,1434188_at,4.88779097069733e-18,5.51110651423551e-15,24,14,8923.82899993047
Gda,1435748_at,4.88779097069733e-18,5.51110651423551e-15,24,17,2258.85261250043
Tardbp,1423723_s_at,1.12847115834253e-17,1.18360878400945e-14,24,22,2569.78514185768
Mreg,1437250_at,1.12847115834253e-17,1.18360878400945e-14,24,1,9371.23313805673
Ndrg1,1456174_x_at,1.12847115834253e-17,1.18360878400945e-14,24,3,1080.44148398352
Fkbp5,1448231_at,1.48516735478208e-17,1.48850073040059e-14,24,14.5,297.020203437409
Fmo2,1453435_a_at,1.48516735478208e-17,1.48850073040059e-14,24,15,812.430336244284
Dbp,1438211_s_at,2.55655614121136e-17,2.50659214184291e-14,24,10.5,31176.7268912445
Cbs,1423844_s_at,3.34405464196506e-17,3.01640416814533e-14,24,4,6736.58862669471
Cldn1,1437932_a_at,3.34405464196506e-17,3.01640416814533e-14,24,0,8432.35443166676
Tspan4,1448276_at,3.34405464196506e-17,3.01640416814533e-14,24,16,4982.66328897007
Stra6l,1453234_at,3.34405464196506e-17,3.01640416814533e-14,24,2.5,5723.56977429733
Abhd6,1419103_a_at,7.39559357458058e-17,6.29337105296526e-14,24,16.5,4972.26881928662
St6gal1,1420928_at,9.59821660028756e-17,7.5945467875363e-14,24,6,2742.65507218826
Tubb2a,1427347_s_at,9.59821660028756e-17,7.5945467875363e-14,24,23.5,27643.667859046
Ppp1r3c,1433691_at,9.59821660028756e-17,7.5945467875363e-14,24,23,15431.6685829113
Pnp,1416530_a_at,1.24332372719058e-16,9.3458572366704e-14,24,23.5,12834.3769872655
Chka,1450264_a_at,1.24332372719058e-16,9.3458572366704e-14,24,23,2167.58280471877
Coq10b,1460510_a_at,1.24332372719058e-16,9.3458572366704e-14,24,12,4854.18198682847
Nmrk1,1425646_at,2.07462838491833e-16,1.43950484289541e-13,24,15,4177.09188850329
C730049O14Rik,1435084_at,2.07462838491833e-16,1.43950484289541e-13,24,1,46711.2264778099
Slc30a10,1439934_at,2.07462838491833e-16,1.43950484289541e-13,24,23.5,1714.04451526572
Pnp2///Pnp,1453299_a_at,2.37357853582272e-16,1.62198129612334e-13,24,23.5,7890.88741397316
Fmo5,1440899_at,2.67252868672711e-16,1.74686545362434e-13,24,17,22606.7341246198
Abcb11,1449817_at,2.67252868672711e-16,1.74686545362434e-13,24,3,12796.2992870986
Mrap,1451371_at,2.67252868672711e-16,1.74686545362434e-13,24,21,3160.37840317421
Lpl,1415904_at,3.43652805542535e-16,2.12316235380464e-13,24,3,4627.41284210194
Atl2,1416793_at,3.43652805542535e-16,2.12316235380464e-13,24,14.5,4956.6417594224
Snx10,1431055_a_at,3.43652805542535e-16,2.12316235380464e-13,24,13.5,895.373961677466
Agpat2,1428821_at,5.65195338750022e-16,3.2266930345525e-13,24,21.5,16733.2577127109
D630004K10Rik,1440840_at,5.65195338750022e-16,3.2266930345525e-13,24,12,1861.63537816888
Nrep,1450839_at,5.65195338750022e-16,3.2266930345525e-13,24,14,6046.64686262146
Ethe1,1417203_at,9.23100849969881e-16,4.78537602695306e-13,24,1,9845.01235912124
Agxt,1418833_at,9.23100849969881e-16,4.78537602695306e-13,24,6,11638.4826435837
Psen2,1425869_a_at,9.23100849969881e-16,4.78537602695306e-13,24,0,20732.6890224411
Dnajb6,1448234_at,9.23100849969881e-16,4.78537602695306e-13,24,15,8432.90243942218
Arrdc3,1454617_at,9.23100849969881e-16,4.78537602695306e-13,24,7.5,10169.4683056687
Amdhd1,1447380_at,1.04989387603105e-15,5.32036670818838e-13,24,5,1014.55680964646
Atp11c,1455083_at,1.04989387603105e-15,5.32036670818838e-13,24,7.5,13164.1008793328
Slc45a3,1426663_s_at,1.17668690209223e-15,5.70642537325394e-13,24,21.5,640.74480977219
Pid1,1436999_at,1.17668690209223e-15,5.70642537325394e-13,24,1,6123.04975032867
Hacl1,1449047_at,1.17668690209223e-15,5.70642537325394e-13,24,22.5,36003.6852669973
Ugp2,1434485_a_at,1.49741355094203e-15,7.18455835755708e-13,24,12.5,20701.5056133908
Caprin1,1416461_at,1.90239212354235e-15,8.75508032284528e-13,24,23.5,9693.01975650519
Acat3///Acat2,1425195_a_at,1.90239212354235e-15,8.75508032284528e-13,24,2,8836.74879982734
Pfkfb1,1427213_at,1.90239212354235e-15,8.75508032284528e-13,24,18,1900.40250744744
Clock,1418659_at,2.15765899088237e-15,9.8295533482612e-13,24,23.5,1786.29315063346
Avpr1a,1418603_at,2.41292585822239e-15,1.066915383644e-12,24,0,1633.23988784563
Fam47e,1455383_at,2.41292585822239e-15,1.066915383644e-12,24,16,3114.31039637991
Slc39a8,1416832_at,3.05549546989046e-15,1.30005567158047e-12,24,3,1381.49219607369
Hal,1418645_at,3.05549546989046e-15,1.30005567158047e-12,24,3,15523.7692411609
Fam210a,1436219_at,3.05549546989046e-15,1.30005567158047e-12,24,5,1046.95997789433
Gstt2,1417883_at,3.86296670170864e-15,1.58385146557965e-12,24,13,6235.07314213815
Abcg5,1419393_at,3.86296670170864e-15,1.58385146557965e-12,24,10,6335.18178468464
Hspb1,1425964_x_at,3.86296670170864e-15,1.58385146557965e-12,24,21,3347.72634484959
Ppp1r3b,1436590_at,3.86296670170864e-15,1.58385146557965e-12,24,18.5,16599.9327291182
Commd7,1426765_at,4.87606766499179e-15,1.98122097079995e-12,24,0.5,812.11213819275
Atf5,1425927_a_at,6.14519358680227e-15,2.4100380518119e-12,24,2.5,3731.61461635577
Pcbp4,1433658_x_at,6.14519358680227e-15,2.4100380518119e-12,24,7.5,531.850365469462
Dtx4,1436545_at,6.14519358680227e-15,2.4100380518119e-12,24,1,384.948931677956
Vcam1,1448162_at,6.14519358680227e-15,2.4100380518119e-12,24,14,516.753635691129
Gde1,1418444_a_at,7.73260832015854e-15,2.93065855334008e-12,24,15.5,4075.37457802961
Ak2,1448450_at,7.73260832015854e-15,2.93065855334008e-12,24,12.5,5535.93898990948
Cyp2a5///Cyp2a4,1422230_s_at,9.71512598014619e-15,3.562291844151e-12,24,14,95495.3188069987
Rgs16,1426037_a_at,9.71512598014619e-15,3.562291844151e-12,24,10,263.167466288103
BC004004,1416608_a_at,1.21873727677249e-14,4.2942398374778e-12,24,3,7709.2140042168
Bri3,1416924_at,1.21873727677249e-14,4.2942398374778e-12,24,11,3539.7411912808
Rdh9,1427963_s_at,1.21873727677249e-14,4.2942398374778e-12,24,13,15423.7843423011
Leprotl1,1451018_at,1.21873727677249e-14,4.2942398374778e-12,24,23.5,1680.50997616795
Adck5,1436753_at,1.52657489211535e-14,5.25572932895376e-12,24,3,1505.78389053675
Cnp,1437341_x_at,1.52657489211535e-14,5.25572932895376e-12,24,2.5,1304.29381323765
Gm15453///Rbm3,1422660_at,1.90932343662376e-14,6.42629823247524e-12,24,12.5,3490.19068358915
Pxmp4,1455438_at,1.90932343662376e-14,6.42629823247524e-12,24,23,2015.07754968636
Fpgs,1460673_at,1.90932343662376e-14,6.42629823247524e-12,24,23,3815.17696022249
Homer2,1424367_a_at,2.3845209692141e-14,7.90766766415625e-12,24,15,2452.74129190178
Kynu,1430570_at,2.3845209692141e-14,7.90766766415625e-12,24,1,7048.51110554562
Tuba4a,1417373_a_at,2.97364973435625e-14,9.44468849783107e-12,24,1.5,23808.2146118729
Hsd3b5,1420531_at,2.97364973435625e-14,9.44468849783107e-12,24,4,28133.2332390005
Fgf1,1423136_at,2.97364973435625e-14,9.44468849783107e-12,24,17.5,3495.4055961004
0610030E20Rik,1435538_at,2.97364973435625e-14,9.44468849783107e-12,24,2.5,663.230805413922
Prkd3,1444691_at,2.97364973435625e-14,9.44468849783107e-12,24,6.5,5384.86562610898
Per2,1417602_at,3.7029867307966e-14,1.12086177547421e-11,24,14,745.378935718269
Eva1a,1424652_at,3.7029867307966e-14,1.12086177547421e-11,24,6,5474.96870770167
Afmid,1431722_a_at,3.7029867307966e-14,1.12086177547421e-11,24,20,483.484261636302
Galt,1450187_a_at,3.7029867307966e-14,1.12086177547421e-11,24,4,3403.71152425004
Pnpla7,1451361_a_at,3.7029867307966e-14,1.12086177547421e-11,24,2.5,7301.47855651511
Fmo1,1417429_at,4.60462981551441e-14,1.35734254450664e-11,24,18.5,6825.38356074221
Nop16,1424620_at,4.60462981551441e-14,1.35734254450664e-11,24,19.5,1703.56165723463
Ept1,1435797_at,4.60462981551441e-14,1.35734254450664e-11,24,2.5,1183.69675170628
Grb14,1417673_at,5.71773392976746e-14,1.63212353143318e-11,24,5,2492.65746969976
Glo1,1424108_at,5.71773392976746e-14,1.63212353143318e-11,24,3.5,10460.1245480754
Cgrrf1,1430849_a_at,5.71773392976746e-14,1.63212353143318e-11,24,15,1060.51875042358
Serpina6,1448506_at,5.71773392976746e-14,1.63212353143318e-11,24,13.5,20679.8681458865
Ak4,1450387_s_at,5.71773392976746e-14,1.63212353143318e-11,24,13,5398.51278698588
Bhmt,1450624_at,6.40386622632168e-14,1.81648283442348e-11,24,2,48876.7056398546
Grk5,1449514_at,7.0899985228759e-14,1.99853764612641e-11,24,1.5,320.284016538447
Gabarapl1,1416419_s_at,8.77945489352545e-14,2.38531442863187e-11,24,6.5,15980.1536354082
Bfar,1426489_s_at,8.77945489352545e-14,2.38531442863187e-11,24,9,2408.75925011198
Rnf125,1429399_at,8.77945489352545e-14,2.38531442863187e-11,24,1,38178.1800405022
Dcun1d4,1455079_at,8.77945489352545e-14,2.38531442863187e-11,24,8,1809.16805500484
Trim2,1459860_x_at,8.77945489352545e-14,2.38531442863187e-11,24,0,4044.93363109953
Ppa1,1416939_at,1.08566111623022e-13,2.88025894135879e-11,24,21.5,8393.6403353968
Aqp8,1417828_at,1.08566111623022e-13,2.88025894135879e-11,24,23.5,11158.4278498362
Vps4b,1417007_a_at,1.34070231581493e-13,3.45525800831824e-11,24,7,4631.58477211095
Slc17a3,1418923_at,1.34070231581493e-13,3.45525800831824e-11,24,21,6929.61110028911
Lonrf3,1436200_at,1.34070231581493e-13,3.45525800831824e-11,24,19.5,452.654405976568
Nap1l1,1420478_at,1.65343719060527e-13,4.16601512477588e-11,24,20,1351.86442194197
Gm7969,1435217_at,1.65343719060527e-13,4.16601512477588e-11,24,22.5,1724.47434028822
Crot,1450966_at,1.65343719060527e-13,4.16601512477588e-11,24,4,44870.9103690938
Col4a1,1452035_at,1.65343719060527e-13,4.16601512477588e-11,24,4,983.585532630488
Sh3glb1,1418010_a_at,2.03641429446422e-13,4.8853362284378e-11,24,12.5,1167.18580836557
Gclc,1424296_at,2.03641429446422e-13,4.8853362284378e-11,24,3,27667.2498701985
Rnf141,1433655_at,2.03641429446422e-13,4.8853362284378e-11,24,3,1849.42010852389
2310035C23Rik,1433726_at,2.03641429446422e-13,4.8853362284378e-11,24,3,821.163104991938
Hist2h3b///Hist1h3e///Hist1h3b///Hist1h3d///Hist1h3c///Hist1h3f///Hist2h3c2///Hist2h3c1,1442051_at,2.03641429446422e-13,4.8853362284378e-11,24,20,1138.42424004081
Slc10a2,1450245_at,2.03641429446422e-13,4.8853362284378e-11,24,19,728.814959368975
Tmem33,1452053_a_at,2.03641429446422e-13,4.8853362284378e-11,24,20,2254.50390579613
Rnf144a,1438404_at,2.2706081336351e-13,5.41834377963368e-11,24,0,154.396765672083
Tfpi2,1418547_at,2.50480197280598e-13,5.82314813275888e-11,24,23.5,9816.03865876213
Ahctf1,1424712_at,2.50480197280598e-13,5.82314813275888e-11,24,21,878.792307658641
Ddc,1426215_at,2.50480197280598e-13,5.82314813275888e-11,24,23,18891.7541952915
Smim4,1456204_at,2.50480197280598e-13,5.82314813275888e-11,24,12.5,2425.19948277456
Gm2444///Dazap2,1415796_at,3.07691232770252e-13,7.00867792382381e-11,24,5,5425.24142331473
Tmem218,1417174_at,3.07691232770252e-13,7.00867792382381e-11,24,2.5,237.305035766205
Pnrc1,1433668_at,3.07691232770252e-13,7.00867792382381e-11,24,0,9755.86387168315
Timm8a1,1416345_at,3.77482535007861e-13,8.38662059674362e-11,24,14.5,3265.45447085854
Pkhd1,1419820_at,3.77482535007861e-13,8.38662059674362e-11,24,1.5,418.200628063254
Cald1,1424770_at,3.77482535007861e-13,8.38662059674362e-11,24,3,4316.49799041422
Azin1,1450714_at,3.77482535007861e-13,8.38662059674362e-11,24,12,2088.9348529813
Blcap,1420631_a_at,4.62513147450594e-13,9.93324069674726e-11,24,0.5,652.164584288353
Tor1a,1426515_a_at,4.62513147450594e-13,9.93324069674726e-11,24,14,1223.71899552144
Esr1,1435663_at,4.62513147450594e-13,9.93324069674726e-11,24,19,812.430336244284
Rnf144b,1439153_at,4.62513147450594e-13,9.93324069674726e-11,24,23,3306.32524281112
Ankhd1///Eif4ebp3///Maskbp3,1453023_at,4.62513147450594e-13,9.93324069674726e-11,24,16.5,8753.75214138557
Fkbp4,1416362_a_at,5.65981397405284e-13,1.17093243139338e-10,24,20,4067.98531216621
Dclre1a,1417904_at,5.65981397405284e-13,1.17093243139338e-10,24,13,1231.74465748791
1810011O10Rik,1435595_at,5.65981397405284e-13,1.17093243139338e-10,24,16.5,1286.01510294397
Wrnip1,1448376_at,5.65981397405284e-13,1.17093243139338e-10,24,0,1607.51887867997
Atp6v1d,1416952_at,6.91729629311318e-13,1.38042911555618e-10,24,15,3010.11821217207
Irf6,1418301_at,6.91729629311318e-13,1.38042911555618e-10,24,1,1007.62716319083
Tab2,1423462_at,6.91729629311318e-13,1.38042911555618e-10,24,2.5,5508.02594972214
Sorbs1,1428471_at,6.91729629311318e-13,1.38042911555618e-10,24,8,2598.56438785197
Lrrc8d,1433505_a_at,6.91729629311318e-13,1.38042911555618e-10,24,2.5,674.014183827017
Psmd11,1437080_s_at,6.91729629311318e-13,1.38042911555618e-10,24,3.5,6964.68359663596
A930033H14Rik,1459145_at,6.91729629311318e-13,1.38042911555618e-10,24,12.5,289.984490964603
Myo1b,1459679_s_at,6.91729629311318e-13,1.38042911555618e-10,24,1.5,2151.37238176007
Eps8l2,1417843_s_at,8.44368369525891e-13,1.66296322419158e-10,24,2,691.621142678562
Slc44a1,1433645_at,8.44368369525891e-13,1.66296322419158e-10,24,1.5,2329.49257994096
Wee1,1416773_at,1.02942335726666e-12,1.95075726202032e-10,24,13.5,1453.28121203365
Tsc22d3,1420772_a_at,1.02942335726666e-12,1.95075726202032e-10,24,17.5,4518.80124051169
Dhx36,1424398_at,1.02942335726666e-12,1.95075726202032e-10,24,4.5,884.413806569075
Mthfr,1434087_at,1.02942335726666e-12,1.95075726202032e-10,24,23,313.707923473412
1810058I24Rik,1436339_at,1.02942335726666e-12,1.95075726202032e-10,24,11.5,4619.40485780501
D630039A03Rik,1437085_at,1.02942335726666e-12,1.95075726202032e-10,24,4.5,1140.49252737578
Ppm1b,1426382_at,1.25350945284524e-12,2.34583111339308e-10,24,0.5,2319.48701898717
Etnk2,1437040_at,1.38902277757871e-12,2.5886907558503e-10,24,12.5,1880.12622049691
Casp6,1415995_at,1.52453610231217e-12,2.80645317348495e-10,24,7.5,2322.5452558158
Slc4a4,1434096_at,1.52453610231217e-12,2.80645317348495e-10,24,6.5,1738.08614582606
Myh10,1452740_at,1.52453610231217e-12,2.80645317348495e-10,24,3.5,683.418704016798
Crip2,1417311_at,1.85194981079895e-12,3.34099153667374e-10,24,0.5,3579.26846034913
Lpin1,1426516_a_at,1.85194981079895e-12,3.34099153667374e-10,24,12.5,7100.5188093019
Riok2,1440381_at,1.85194981079895e-12,3.34099153667374e-10,24,15,557.359242600766
Ptprk,1423278_at,2.24701997076424e-12,4.0215415754539e-10,24,3,509.717923218323
Fbxo21,1452828_at,2.24701997076424e-12,4.0215415754539e-10,24,6.5,2964.89873351519
Dnmt3b,1449052_a_at,2.72317542376364e-12,4.74200520413761e-10,24,23,134.138156391088
Pdgfc,1449351_s_at,2.72317542376364e-12,4.74200520413761e-10,24,0.5,437.31018882482
Efhd2,1431339_a_at,3.00978787459816e-12,5.22094011277891e-10,24,13,493.825698311155
Trib3,1426065_a_at,3.29640032543268e-12,5.61022456895621e-10,24,7.5,252.012856814886
Abca8b,1427546_at,3.29640032543268e-12,5.61022456895621e-10,24,4.5,409.131983594536
Gm3579,1431214_at,3.29640032543268e-12,5.61022456895621e-10,24,16.5,540.477068199938
Fermt2,1434180_at,3.29640032543268e-12,5.61022456895621e-10,24,2,8852.16372765721
Ubr3,1460455_at,3.29640032543268e-12,5.61022456895621e-10,24,8,1153.96291155739
Sumo3,1422457_s_at,3.98569925601058e-12,6.58457956576311e-10,24,0.5,6063.47600401371
Tef,1424175_at,3.98569925601058e-12,6.58457956576311e-10,24,12,5232.90837883199
Tmed5,1424574_at,3.98569925601058e-12,6.58457956576311e-10,24,13,6197.0838303189
Pttg1ip,1437342_x_at,3.98569925601058e-12,6.58457956576311e-10,24,4,11669.4539205997
Slc1a2,1438194_at,3.98569925601058e-12,6.58457956576311e-10,24,11,2564.35809731207
Fdx1,1449108_at,3.98569925601058e-12,6.58457956576311e-10,24,13,8941.77183450308
Camk1d,1452050_at,3.98569925601058e-12,6.58457956576311e-10,24,3,2556.40314602373
Acss2,1422479_at,4.81364309893168e-12,7.78136621523003e-10,24,0.5,14641.9186966736
Aldh8a1,1427337_at,4.81364309893168e-12,7.78136621523003e-10,24,4.5,8894.66084520652
Mmd,1435645_at,4.81364309893168e-12,7.78136621523003e-10,24,10.5,318.162696194887
Hist1h3a///Hist2h3b///Hist1h3i///Hist1h3h///Hist1h3e///Hist1h3b///Hist1h3d///Hist1h3c///Hist1h3f///Hist1h3g///Hist2h3c2///Hist2h3c1,1460314_s_at,4.81364309893168e-12,7.78136621523003e-10,24,19.5,334.673639535593
Hnrnpk,1460547_a_at,4.81364309893168e-12,7.78136621523003e-10,24,7.5,15333.6105500303
Ifrd1,1416067_at,5.8070090272392e-12,9.15740958522781e-10,24,12,912.309169086884
Higd1a,1416481_s_at,5.8070090272392e-12,9.15740958522781e-10,24,20,333.277103642749
Arhgap24,1424842_a_at,5.8070090272392e-12,9.15740958522781e-10,24,1,286.236825024314
Naa50,1428409_at,5.8070090272392e-12,9.15740958522781e-10,24,10.5,2989.48837183096
Odc1,1438761_a_at,5.8070090272392e-12,9.15740958522781e-10,24,18.5,3927.83674813503
Per3,1441445_at,5.8070090272392e-12,9.15740958522781e-10,24,10.5,63.6396103067893
Atp6v1c1,1419545_a_at,6.99753002519477e-12,1.06620135698077e-09,24,9,1813.11017530996
Ptbp2,1423470_at,6.99753002519477e-12,1.06620135698077e-09,24,6,712.498470393095
Fam89a,1427356_at,6.99753002519477e-12,1.06620135698077e-09,24,0,164.579103321169
Clec2h,1431240_at,6.99753002519477e-12,1.06620135698077e-09,24,6.5,1231.74465748791
Polr2b,1433552_a_at,6.99753002519477e-12,1.06620135698077e-09,24,16.5,4733.79705733146
Gpd1l,1438195_at,6.99753002519477e-12,1.06620135698077e-09,24,12.5,902.498062497921
Rrm2,1448226_at,6.99753002519477e-12,1.06620135698077e-09,24,15.5,173.559359442238
Cxxc5,1448960_at,6.99753002519477e-12,1.06620135698077e-09,24,4.5,535.491965392572
Usp2,1417168_a_at,8.42277176820667e-12,1.27474976348285e-09,24,13.5,5450.52049074214
Slc2a2,1449067_at,8.42277176820667e-12,1.27474976348285e-09,24,12,18588.1755764585
Ciart,1435188_at,9.27496459946309e-12,1.39903069699125e-09,24,12,113.243151007026
Wwp1,1427097_at,1.01271574307195e-11,1.50245041869369e-09,24,14,806.243151908902
Pmvk,1427893_a_at,1.01271574307195e-11,1.50245041869369e-09,24,21.5,4656.26279877436
1700023H06Rik,1459253_at,1.01271574307195e-11,1.50245041869369e-09,24,6.5,779.585226258169
Lonp2,1460178_at,1.01271574307195e-11,1.50245041869369e-09,24,4.5,11633.1263097163
Hist1h2bg///Hist1h2be///Hist1h2bc,1418072_at,1.21631641371298e-11,1.76389345899901e-09,24,23.5,19618.1473139349
Mknk2,1418300_a_at,1.21631641371298e-11,1.76389345899901e-09,24,13,7328.87894428609
Sort1,1423362_at,1.21631641371298e-11,1.76389345899901e-09,24,5.5,406.056069096375
Hnrnpdl,1456698_s_at,1.21631641371298e-11,1.76389345899901e-09,24,7.5,1201.33906589689
Fga,1424279_at,1.33779412532581e-11,1.93384143738203e-09,24,3,38543.7896017147
Hspa4l,1418253_a_at,1.45927183693864e-11,2.08274111132182e-09,24,20,1829.07311089524
Csnk1g3,1429384_at,1.45927183693864e-11,2.08274111132182e-09,24,14,1461.48365069542
Kat2b,1434037_s_at,1.45927183693864e-11,2.08274111132182e-09,24,9,9154.31045525821
Ces1d,1449081_at,1.45927183693864e-11,2.08274111132182e-09,24,18,38091.9837238756
Mocos,1429352_at,1.74888217578321e-11,2.4572066981308e-09,24,2,1563.04186214333
Stom,1438910_a_at,1.74888217578321e-11,2.4572066981308e-09,24,4,815.223408029971
Gldc,1416049_at,2.09374433778327e-11,2.84427600537239e-09,24,1,9460.62911286824
Serpinf2,1417498_at,2.09374433778327e-11,2.84427600537239e-09,24,4.5,18025.5307106684
Tmem37,1417611_at,2.09374433778327e-11,2.84427600537239e-09,24,19,1801.84949981956
Tjp3,1417896_at,2.09374433778327e-11,2.84427600537239e-09,24,1,923.728943603046
Noct,1425837_a_at,2.09374433778327e-11,2.84427600537239e-09,24,13.5,4616.80624038415
Psmc2,1435859_x_at,2.09374433778327e-11,2.84427600537239e-09,24,3.5,6616.48653991017
Gss,1448273_at,2.09374433778327e-11,2.84427600537239e-09,24,11,1091.94964684733
Pim3,1451069_at,2.09374433778327e-11,2.84427600537239e-09,24,12,980.580328810445
Mcu,1453166_at,2.09374433778327e-11,2.84427600537239e-09,24,3.5,353.394291567507
Zkscan17,1434088_at,2.29885817044876e-11,3.11353760797026e-09,24,7,492.712005130786
Anxa7,1416138_at,2.50397200311425e-11,3.2828965497807e-09,24,11,4927.04934062974
Pla2g12b,1419614_at,2.50397200311425e-11,3.2828965497807e-09,24,1.5,3278.9602103792
Ccnf,1422513_at,2.50397200311425e-11,3.2828965497807e-09,24,20,620.044258752954
Fam213b,1423266_at,2.50397200311425e-11,3.2828965497807e-09,24,21,1054.82654083503
Aqp11,1429254_at,2.50397200311425e-11,3.2828965497807e-09,24,15,964.917913607163
Nup62,1438917_x_at,2.50397200311425e-11,3.2828965497807e-09,24,20,151.88653659887
Lin7c,1450937_at,2.50397200311425e-11,3.2828965497807e-09,24,15,1226.19386925559
Narf,1451678_at,2.50397200311425e-11,3.2828965497807e-09,24,11,1018.28679791722
Pla2g12a,1452026_a_at,2.50397200311425e-11,3.2828965497807e-09,24,10.5,441.02249942605
Insc,1453259_at,2.50397200311425e-11,3.2828965497807e-09,24,21.5,728.602827334618
Slc16a1,1415802_at,2.99145120946121e-11,3.78981575836826e-09,24,23.5,6386.65915835502
Gmnn,1417506_at,2.99145120946121e-11,3.78981575836826e-09,24,11.5,767.45834496082
Apon,1418853_at,2.99145120946121e-11,3.78981575836826e-09,24,2,12395.1576101315
Mfsd2a,1428223_at,2.99145120946121e-11,3.78981575836826e-09,24,12.5,1436.13387258988
Coa6,1435864_a_at,2.99145120946121e-11,3.78981575836826e-09,24,16,2701.00648277637
Sorbs2,1437197_at,2.99145120946121e-11,3.78981575836826e-09,24,1.5,3211.36080209777
Elovl5,1437211_x_at,2.99145120946121e-11,3.78981575836826e-09,24,2.5,20084.7670788399
Gm32461,1442097_at,2.99145120946121e-11,3.78981575836826e-09,24,6,817.91041379848
Lhpp,1452889_at,2.99145120946121e-11,3.78981575836826e-09,24,10,2348.70820671971
Hdac11,1454803_a_at,2.99145120946121e-11,3.78981575836826e-09,24,7,236.067598899129
Acnat2,1425150_at,3.57013694671546e-11,4.4602976851472e-09,24,21,1225.57515082205
Mpzl1,1428168_at,3.57013694671546e-11,4.4602976851472e-09,24,0,113.579026728089
---,1446368_at,3.57013694671546e-11,4.4602976851472e-09,24,18,2354.50648232544
D7Wsu130e,1447462_at,3.57013694671546e-11,4.4602976851472e-09,24,14,21.9556655558423
Rnf145,1452769_at,3.57013694671546e-11,4.4602976851472e-09,24,9.5,1293.1215260949
Ndufaf6,1429213_at,3.91326697575941e-11,4.875476626346e-09,24,14.5,907.659942000582
Ppm1a,1415678_at,4.25639700480337e-11,5.16042369122679e-09,24,10.5,2196.23830702636
Fam195a,1417212_at,4.25639700480337e-11,5.16042369122679e-09,24,17.5,2671.23728728842
Fbxo6,1417501_at,4.25639700480337e-11,5.16042369122679e-09,24,2,1009.09440976179
Pgk1,1417864_at,4.25639700480337e-11,5.16042369122679e-09,24,20,6812.47886198555
